SID,Sent,WID,Token,Type,GS/Head,SA/Head,SA/Check,SA/Gramm,Lemma
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,1,Эта,amod,2,,0
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,2,книга,subj,3,,0
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,3,посвящается,pred,,,h
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,4,нашим,amod,5,,0
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,5,родителям,comp,3,,0
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,6,0,,5,,3
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,7,Роджеру,appo,5,,0
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,8,и,cj,7,,3
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,9,Фрэнсис,coord,10,,1
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,10,Джонсон,appo,7,,1
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,11,,,-10,,
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,12,которые,subj,14,,0
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,13,не,spec,14,,0
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,14,признавали,preds,,,6
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,15,соперничества,comp,14,,0
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,16,и,cj,19,,1
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,17,учили,coord,14,,0
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,18,нас,comp,19,,1
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,19,сотрудничать,comp,17,,0
1785,Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .,20,.,,,,
1786,Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .,1,Благодарим,0,,
1786,Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .,2,тысячи,1,1,
1786,Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .,3,педагогов,2,2,
1786,Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .,4,0,-10,3,
1786,Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .,5,использующих,3,3,
1786,Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .,6,на,5,5,
1786,Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .,7,практике,6,6,
1786,Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .,8,принципы,5,5,
1786,Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .,9,сотрудничества,8,8,
1786,Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .,10,и,11,5,
1786,Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .,11,создающих,5,5,
1786,Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .,12,обучающие,13,13,
1786,Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .,13,коммуны,11,11,
1786,Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .,14,0,-10,16,
1786,Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .,15,в,18,18,
1786,Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .,16,которых,15,15,
1786,Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .,17,ученики,18,18,
1786,Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .,18,заботятся,13,13,
1786,Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .,19,как,20,18,
1786,Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .,20,о,18,18,
1786,Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .,21,личном,22,22,
1786,Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .,22,благополучии,20,20,
1786,Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .,23,0,-10,3,
1786,Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .,24,так,26,,
1786,Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .,25,и,24,24,
1786,Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .,26,об,20,,
1786,Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .,27,академических,28,28,
1786,Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .,28,успехах,26,26,
1786,Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .,29,друг,28,30,
1786,Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .,30,друга,29,28,
1786,Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .,31,.,-10,,
1787,За все эти годы они многому научили нас .,1,За,circ,7,7,0,prp,acc
1787,За все эти годы они многому научили нас .,2,все,amod,4,4,0,prn,pl
1787,За все эти годы они многому научили нас .,3,эти,amod,4,4,0,prn,pl
1787,За все эти годы они многому научили нас .,4,годы,pcomp,1,1,0,nn,pl
1787,За все эти годы они многому научили нас .,5,они,subj,7,7,0,prn,pl
1787,За все эти годы они многому научили нас .,6,многому,comp,7,7,0,prn,sg
1787,За все эти годы они многому научили нас .,7,научили,pred,0,,h,vrb,pl
1787,За все эти годы они многому научили нас .,8,нас,obj,7,7,0,prn,pl
1787,За все эти годы они многому научили нас .,9,.,,-10,,,pnt,.
1788,Особая благодарность ? Джудди Бартлетт за ее помощь в подготовке этой книги к печати .,1,Особая,amod,2,2,0,adj,sg
1788,Особая благодарность ? Джудди Бартлетт за ее помощь в подготовке этой книги к печати .,2,благодарность,subj,3,,3,nn,sg
1788,Особая благодарность ? Джудди Бартлетт за ее помощь в подготовке этой книги к печати .,3,—,elst,,,,pnt,-
1788,Особая благодарность ? Джудди Бартлетт за ее помощь в подготовке этой книги к печати .,4,Джудди,comp,3,5,3,nn,sg
1788,Особая благодарность ? Джудди Бартлетт за ее помощь в подготовке этой книги к печати .,5,Бартлетт,appo,4,,1,nn,sg
1788,Особая благодарность ? Джудди Бартлетт за ее помощь в подготовке этой книги к печати .,6,за,circ,3,5,1,prp,acc
1788,Особая благодарность ? Джудди Бартлетт за ее помощь в подготовке этой книги к печати .,7,ее,amod,8,8,0,prn,sg
1788,Особая благодарность ? Джудди Бартлетт за ее помощь в подготовке этой книги к печати .,8,помощь,pcomp,6,6,0,nn,sg
1788,Особая благодарность ? Джудди Бартлетт за ее помощь в подготовке этой книги к печати .,9,в,mod,8,8,0,prp,loc
1788,Особая благодарность ? Джудди Бартлетт за ее помощь в подготовке этой книги к печати .,10,подготовке,pcomp,9,9,0,nn,sg
1788,Особая благодарность ? Джудди Бартлетт за ее помощь в подготовке этой книги к печати .,11,этой,amod,12,12,0,prn,sg
1788,Особая благодарность ? Джудди Бартлетт за ее помощь в подготовке этой книги к печати .,12,книги,mod,10,10,0,nn,sg
1788,Особая благодарность ? Джудди Бартлетт за ее помощь в подготовке этой книги к печати .,13,к,mod,10,12,4,prp,dat
1788,Особая благодарность ? Джудди Бартлетт за ее помощь в подготовке этой книги к печати .,14,печати,pcomp,13,13,0,nn,sg
1788,Особая благодарность ? Джудди Бартлетт за ее помощь в подготовке этой книги к печати .,15,.,,-10,,,pnt,.
